place_number;booking_weezpay_account;stall_name;drink_categories;food_types
198.01;2316-002;L'Epis Taff;min?rales, vins, bi?res, liquoreux, cocktails;Tartares;6.930499258754488, 46.99182734049377
648.18;2288-003;Stand de Marc Schneider;min?rales;Gaufre;6.932510047030979, 46.99137397741542
792.01;2146-002;Stand de Nguyen Thanh-Lam;min?rales, bi?res;Sp?cialit?s Asiatiques;6.930059238858971, 46.99058777269393
045.22;2072-002;Wok Viet Tha?;;Sp?cialit?s Asiatiques;6.930415246646824, 46.990203478433074
657.09;2111-002;Attitude Concept Store S?rl;min?rales, vins, bi?res, cocktails;;6.929539562503481, 46.99007361420587
387.15;2065-002;Stand de Laurent Boschung;;Confiserie, Cr?pes, Sandwich;6.931665959553561, 46.991150467318356
744.06;2335-003;Stand Argentine;min?rales, bi?res;Sp?cialit?s Am?rique latine;6.929221278334207, 46.99068494421068
648.25;2102-002;Stand de Souady Abdelali;min?rales, bi?res, liquoreux, cocktails;;6.932467936676517, 46.99148875263787
384.18;2181-002;Neuch?tel Sport Rugby Club;min?rales, vins, bi?res, liquoreux, cocktails;;6.929658894435407, 46.991866918037665
198.09;2029-002;Gaberel;min?rales, vins, bi?res, cocktails;Steak vigneron, Tartares;6.930619841029964, 46.99156635237149
303.01;2385-002;Stand de FLORIDITA;min?rales, vins, bi?res;;6.928803917456074, 46.99053189473352
780.06;2142-002;Association des Vieux Scouts;min?rales, vins, bi?res, liquoreux, cocktails;Croques-monsieur, planchettes neuch?teloises;6.930299665561614, 46.99141891116173
378.01;2163-002;Stand de Bacouet Elian;min?rales, vins, bi?res, liquoreux;Burgers, Fondue au fromage, Grillades, Raclette, Steak vigneron;6.928412260240212, 46.990478951583576
387.16;2166-002;Stand de Bianchi Giuseppe;min?rales, vins, bi?res, liquoreux, cocktails;;6.931436934263993, 46.99090509453795
387.18;2166-003;Stand Bianchi Giuseppe;min?rales, vins, bi?res, liquoreux, cocktails;Burgers, Grillades, Sandwich, Steak vigneron;6.9312678450264595, 46.99079578148297
744.04;2125-003;Stand de Tran Ha;;Sp?cialit?s Asiatiques;6.929233211935812, 46.99061909186037
726.23;2275-002;POULET SECRET;;Burgers, POULET FRITE;6.930628140012806, 46.99047612791505
537.32;2350-002;Stand de J?r?my Billieux;min?rales, vins, bi?res, liquoreux, cocktails;Planchettes (saucisse s?che NE, tome NE, oignons, cornichons, pain NE);6.930614000254226, 46.99019440869691
516.02;2218-002;Terrasse du Cardinal;;;6.928224896848119, 46.99234403942311
648.20;2243-002;Milan swiss;;bonbons,barbe ? papa;6.932576329662183, 46.99139925188724
657.11;2243-003;MILAN SWISS CHURROS;;Churros;6.929579151581913, 46.989899195427704
744.22;2298-002;Vert'lib?raux neuch?telois;min?rales, vins, bi?res, liquoreux, ABSINTHE;;6.929101331907787, 46.991157172784995
444.01;2067-002;Stand de Bersac Gregory;vins, bi?res;;6.931437211969276, 46.99134358201667
537.15;2459-002;Stand de droguistes.fdv2023;min?rales, vins, bi?res, liquoreux, cocktails;;6.931599544830785, 46.99063965445654
384.04;2286-002;Stand de Neuch Cycling friends;min?rales, vins, bi?res, liquoreux, cocktails;Planchette;6.930545282309814, 46.991953231634675
045.20;2263-002;Stand de Liqueur Beir?o;liquoreux, cocktails;;6.930307005976812, 46.99034886508252
537.14;2303-002;Stand de Gregory Jacquot;;Churros, hot dog;6.931340765431339, 46.99053217124989
384.05;2177-002;Jean-Marc Gueguen;min?rales, vins, bi?res, liquoreux, cocktails;;6.92950970667216, 46.99177678561876
648.23;2098-002;Stand DELICIOUS AVENUE;;Churros, Cr?pes, gaufres;6.932387704686251, 46.991449528707534
276.08;2044-002;Stand de Kha Hai;min?rales;Sp?cialit?s Asiatiques;6.9298100642342515, 46.99009349530435
732.10;2119-002;La Jeunesse Rurale Neuch?teloise;min?rales, vins, bi?res, liquoreux, cocktails;;6.930612219669206, 46.99096953343632
648.08;2090-002;D?lice Kebab;;Kebab, frites, hot dog, falafel;6.93214199174355, 46.991199696956066
387.08;2066-002;Table Ronde N?6;min?rales, vins, bi?res, liquoreux;Pizza;6.93118844642662, 46.991164322853415
537.01;2069-002;Rossignol des Gorges Boudry (soci?t? d'accord?onistes);min?rales, vins, bi?res;Soupe aux pois;6.931918498820369, 46.99100039886414
045.04;2015-002;Stand de Brasserie des Mines;min?rales, bi?res, cocktails;;6.929878359331497, 46.99094560213964
384.24;2346-002;Curling Neuch?tel-Sports;min?rales, vins, bi?res, liquoreux, cocktails;bretzel nature;6.9293682354529, 46.991881190183726
648.17;2094-002;Stand de Trac Tran Ngoc Phuong;;Sp?cialit?s Asiatiques;6.932187351056189, 46.991351437520834
384.10;2165-002;Stand de Maye S?bastien;min?rales, vins, bi?res;Grillades, Sandwich, Planchette, assiettes froides, terrines, assiettes chaudes (magret de canard, foie gras, filet de boeuf, caille, desserts);6.930056196747451, 46.99187693029294
198.04;2255-002;Stand du Club Alpin;min?rales, vins, bi?res;Soupe aux pois, Planchettes ap?ro;6.930499461412043, 46.991760771139326
792.02;2147-002;Stand de Van Hecke Kris;;Gaufres;6.929480235882483, 46.99046254265096
384.07;2053-002;El Porronpompero;min?rales, vins, bi?res, liquoreux, cocktails;;6.929322931860721, 46.99178355869429
657.14;2287-002;JC's Gourmet Hot Dogs;;Gourmet Hot Dogs;6.929119622128095, 46.99017278186986
744.34;2239-002;Stand de Singh Prince Pal;min?rales, vins, bi?res, liquoreux, cocktails;Sp?cialit?s Asiatiques;6.928937741588264, 46.99170722316684
201.03;2037-002;RiderFamily;min?rales, vins, bi?res;Pizza;6.927763563619775, 46.990834230971174
045.26;2239-003;singh sukhwinder;min?rales, vins, bi?res, liquoreux, cocktails;;6.930563472602525, 46.99008302298518
384.13;2187-002;Service compris;min?rales, vins, bi?res, liquoreux;Planchette du terroir : saucisse s?che et gruy?re;6.929113248230465, 46.99178630610982
198.05;2157-002;Canard Gourmand;min?rales, vins, bi?res;Sandwich, Sandwich de Foie gras po?l?, sauce aux truffes;6.930545657668835, 46.99166568577713
744.12;2480-002;BARBECUEBAR;min?rales, vins, bi?res;Grillades, POMME-FRITES;6.929177233752894, 46.99084304312779
384.22;2182-002;Stand du Volley;min?rales, vins, bi?res, liquoreux, cocktails;Plateau ap?ritif, hot-dog, autres petits encas;6.9294857639105345, 46.99187259696399
795.09;2271-002;Stand de La Turquoise;min?rales, vins, bi?res;Kebab, Kebab et Frites;6.928698719283905, 46.99128772145831
387.09;2060-002;Stand Istanbul Kebab;min?rales;Kebab, Sp?cialit?s Orientales;6.931486561741323, 46.9912493684313
198.12;2250-002;Stand de Yonten Tratsang;min?rales, vins, bi?res;Sp?cialit?s Asiatiques,Momo tib?tain;6.930479872504941, 46.99153544340968
045.01;2269-002;Stand de Neuch?tel Xamax 1912;min?rales, vins, bi?res, liquoreux, cocktails;Ramequin au fromage;6.930098784830695, 46.990902931654716
384.06;2052-002;Stand de Br?nnimann Beat;min?rales, vins, bi?res;Brochettes, Pommes, Cheese-Weel, Burrito, Saucisse , Sch?blig;6.930446889225532, 46.99193002527518
384.09;2055-002;Boucherie Margot;;Burgers, Grillades, Frites;6.929242225569563, 46.99178432073697
384.11;2453-002;Club des lutteurs du Vignoble;min?rales, vins, bi?res, liquoreux;;6.92918276373961, 46.99178401070426
537.22;2399-002;Stand de Ngawang Chopatsang;min?rales, vins, bi?res;corn dog, Momo, chicken karaage , Tin tin fish;6.931177141286001, 46.990545070094576
648.24;2320-002;Stand de Eleonora Van Gool;min?rales, vins, bi?res;Burgers, Cr?pes, P?tes, Pizza, Steak vigneron, Hot-dog, frites;6.932902751373149, 46.991550743256575
648.11;2170-002;Stand de Wenger Tupan Anita;min?rales;Churros, Confiserie, Cr?pes;6.932027112249399, 46.99127280171256
648.07;2373-002;Stand de Au metro;min?rales, vins;;6.931859816836403, 46.99123710171302
201.04;2038-002;Denibenevent Abako;min?rales, vins, bi?res;Poissons, Sp?cialit?s Africaines;6.927816282484268, 46.99089062608781
378.03;2195-002;Stand de Christian Di Marco;;;6.928597905116495, 46.99072149459453
657.18;2112-002;Stand de Bui Van Duong;min?rales, vins, bi?res;Sp?cialit?s Asiatiques;6.9292722837398095, 46.99027163555251
744.07;2126-002;The Jungle Kitchen;;Grillades, Sp?cialit?s Africaines;6.929079307690679, 46.99072359321533
276.04;2043-002;Stand de Fontaine S?bastien;min?rales, vins, bi?res, liquoreux;Burgers, Sandwich;6.930002956061867, 46.99016961685861
384.16;2057-002;Association musicale Neuch?tel St-Blaise;min?rales, vins, bi?res;Confiserie, Steak vigneron;6.929735469786899, 46.991863730629525
201.10;2194-002;Terrasse du Bar de l'Univers;;;6.927489871432916, 46.99097193847553
045.10;2276-002;Sales Gosses;min?rales, vins, bi?res, liquoreux, cocktails;planchettes ap?ro;6.9300079028269135, 46.99076426449395
780.17;2145-002;CABANE DU FAYLYS;min?rales, vins, bi?res, liquoreux, cocktails;Burgers, Grillades, Steak vigneron, Frites;6.929578232094192, 46.991159851417834
726.08;2236-002;Stand de Cindy Righetti;;;6.930634028582175, 46.990575137522924
045.18;2174-002;Stand de Zupan Sandi (Bassin);min?rales;Burgers, Cr?pes, Sp?cialit?s Am?rique latine, Tex-Mex;6.930246918556591, 46.990416244728245
297.03;2215-002;Stand de La Cantine du Neubourg;;;6.929516888841217, 46.99284011358017
744.02;2161-003;Stand de Restaurant Maharajah/Younas Butt;min?rales, vins, bi?res;Kebab, Sp?cialit?s indo-pakistanaises;6.92926133827993, 46.99051838403813
387.10;2059-002;Stand de Selver Ogiz;;Grillades, Saucisse grill?e, poulet grill?, hot-dog, frite, cevap;6.9314180207857286, 46.9910756993728
537.12;2413-002;Stand de Tamara;min?rales, bi?res, liquoreux;;6.931386442047688, 46.990578428081704
384.20;2262-004;Stand des Jeunes Lib?raux-Radicaux Neuch?telois;min?rales, vins, bi?res, cocktails;;6.929579831991822, 46.99187021393667
780.10;2253-003;La Bonne Binche;min?rales, vins, bi?res, liquoreux, cocktails;;6.930097273477637, 46.99134066889933
780.07;2143-002;Stand de HC UNIVERSITE NEUCHATEL;min?rales, vins, bi?res, liquoreux, cocktails;Frites;6.930123002207034, 46.99121205244716
384.02;2428-002;Gym La Coudre;min?rales, vins, bi?res;Ramequins & planches-ap?ro;6.930682759461473, 46.99198678211037
537.02;2070-002;Stand de Nesenshon Christian;;Churros, Cr?pes;6.931622062211424, 46.9909171693489
384.28;2179-002;Stand du Ski Extr?me;min?rales, vins, bi?res, liquoreux, cocktails;;6.929147775260099, 46.99188999287013
648.22;2272-002;Stand de Wetzel Frank;;Confiserie, Cr?pes, Granita barbapapa popcorn;6.932828949146402, 46.9915145441812
347.01;2048-002;Stand de Faivre Pierre;min?rales, vins, bi?res, cocktails;Poissons, Tartares;6.929140702783518, 46.99130027220044
387.04;2058-002;Maison du Concert;min?rales, vins, bi?res, liquoreux, cocktails;;6.931025849973083, 46.991298839468854
198.02;2156-002;Monsieur Hot-Dog;min?rales, bi?res;Burgers, hot-dog;6.9303577777352, 46.99182968839753
726.01;2366-002;Empanadas;;Sp?cialit?s Am?rique latine;6.931134266261165, 46.99083568063005
378.05;2206-002;Bar de la place Fernando Dos Santos;;;6.928633859974365, 46.99083024946392
795.03;2152-002;Stand Association Machu Picchu;min?rales, vins, bi?res, cocktails;Sp?cialit?s Am?rique latine, Tamales, Empanadas, Ceviche;6.928646365903812, 46.99159321929334
387.12;2061-002;Pizza au feu de bois;;Pizza;6.931493906004548, 46.991093403390266
648.16;2095-002;Stand de Mongelluzzo Giuseppe;;Burgers, Grillades, Poissons, Sandwich, Saucisses, frites, hot dog, nuggets, sandwichs chauds;6.932434757195703, 46.9913337369998
384.01;2164-002;La Gaufre Haddock;;Cr?pes, gaufres;6.930813370213863, 46.99191495692135
780.04;2140-002;Pineapple Oasis;min?rales, vins, bi?res, liquoreux, cocktails;Croques-Monsieur;6.930374594312688, 46.991455649658505
537.20;2075-002;Stand de Tran David;;Sp?cialit?s Asiatiques;6.931225745943169, 46.99058176169339
351.02;2180-002;Ski Nautique Club de Neuch?tel;min?rales, vins, bi?res, liquoreux, cocktails;Raclette;6.929045113182618, 46.99201447317019
744.16;2174-003;Stand de Zupan Sandi (Seyon);min?rales;;6.929158576059018, 46.990943116033165
201.05;2159-002;PAPRIKA;;;6.927583660283154, 46.99088839464706
648.03;2169-002;Stand de Zupan Robert;min?rales, bi?res;Burgers, Confiserie;6.9318013666890685, 46.99116783185345
045.02;2014-003;Stand du Saloon;min?rales, vins, bi?res, liquoreux, cocktails;;6.929786605027997, 46.991064965549214
201.06;2159-004;PAPRIKA BAR;min?rales, vins, bi?res;;6.927757405950396, 46.990907569338546
648.10;2169-003;Stand de Zupan Robert;min?rales, bi?res;Burgers;6.932218402812312, 46.99123494167296
201.08;2159-005;PAPRIKA BAR - Salle ? manger;;;6.927662592986776, 46.99093718401953
648.14;2169-004;Stand de Zupan Robert;min?rales, bi?res;Burgers, Grillades;6.932346409953114, 46.991292894019864
744.32;2356-002;Stand El Tipico;min?rales, bi?res, liquoreux, cocktails;Sp?cialit?s Am?rique latine;6.928945567789418, 46.991648435408166
306.03;2162-002;FC Cortaillod;min?rales, vins, bi?res, cocktails;Burgers, P?tes, Sandwich, Steak vigneron, Lasagnes;6.928374864544273, 46.991624204488836
780.11;2176-002;Neuch?tel Gym;min?rales, vins, bi?res;;6.929816881682752, 46.99115943562205
780.03;2139-002;FC Helvetia;min?rales, vins, bi?res;Steak vigneron, Saucisse;6.930280750589655, 46.99128837429095
732.02;2118-002;Association des anciens ?l?ves de l'ESCN;min?rales, vins, bi?res;;6.930859105687517, 46.991137026144315
387.01;2475-002;Stand de RTN;min?rales, vins, bi?res, cocktails;Grillades, Raclette, Sp?cialit?s Asiatiques, Steak vigneron;6.9311960828695245, 46.99188616057907
792.07;2150-002;Stand de Gangi Dino Loris;min?rales, bi?res, liquoreux, cocktails;Frites + sauces;6.929812952340325, 46.9905043864259
537.03;2071-002;Choucroute;min?rales, vins, bi?res;Choucroute;6.931853932921328, 46.99091651014473
648.02;2087-002;Au coin de la Poste;min?rales, bi?res;Burgers, Poissons, Steak vigneron, gaufres et frites;6.931923208330746, 46.99109245676193
657.06;2242-002;Stand de Ferreira Antonio;min?rales, liquoreux;Sp?cialit?s Portugaises;6.92913827732189, 46.9902873394743
792.09;2409-002;Stand de Brasserie du Jura;;;6.929681564178809, 46.99046208896557
198.06;2264-003;Stand de Kilian Winz;min?rales, vins, bi?res;;6.930522150010073, 46.991713069339504
240.01;2087-003;Stand de Gamboni Aline;;;6.929581552034261, 46.99104160442537
726.12;2486-002;Stand de l'association PRISME;;;6.930453090847022, 46.99046411189006
648.15;2252-002;Stand de Ayache Bruno;min?rales;Burgers, American hot dog et frites fra?ches;6.9321038055312245, 46.991315473816975
726.10;2252-003;Burgerland 2;;Burgers;6.930552389334433, 46.99052614831097
744.05;2124-002;Santos Reyes Jeffry;min?rales, vins, bi?res, cocktails;Sp?cialit?s Am?rique latine;6.929089069958963, 46.99063371675107
726.29;2486-003;Stand de l'association PRISME;min?rales, vins, bi?res;Raclette;6.930521317268824, 46.99038896039833
276.12;2388-002;Stand de Jeanne ganaj;min?rales, vins, bi?res, liquoreux, cocktails;;6.9296344150999465, 46.99002253655574
045.08;2493-002;Stand du Lions Club NE lac et montagnes;min?rales, vins, bi?res, cocktails;Planchettes ap?ro (Fromages, pain, viande s?ch?e, etc);6.929966463731151, 46.99081498306602
276.02;2447-002;Stand de AMFCV;min?rales, vins, bi?res, liquoreux, cocktails;;6.930276496998476, 46.99029482629699
378.06;2202-002;Mentor Kalanderi;;;6.928450810052434, 46.9908420622708
378.04;2202-003;Mentor Kalanderi;;;6.928364168176471, 46.99074573034774
201.02;2202-004;Mentor Kalanderi;;;6.928204957024473, 46.99077097888409
648.40;2225-002;Stand de Jo?l Schwab;;;6.932955955903858, 46.991458823696966
780.05;2141-002;Famiglia Leccese;min?rales, vins, bi?res;Grillades, Poissons;6.930202349689934, 46.99124306772366
157.01;2212-002;Stand de Mahmoud Abu-Shahin;;Cr?pes;6.928268609758903, 46.99167463545133
537.17;2259-002;Stand Latitude Br?sil;min?rales, vins, bi?res, liquoreux, cocktails;;6.931577649328346, 46.99058646217622
780.19;2222-002;Okapi Great Food and Coffee;;;6.929466337026802, 46.991158979998104
